Id,SalePrice
1461,203897.2394350479
1462,173032.5346019227
1463,205991.00551247294
1464,152311.39461636276
1465,241069.69646482886
1466,160492.00205526146
1467,285301.3780612318
1468,180584.53839799223
1469,119200.21045063173
1470,100792.44506738152
1471,124392.19046401723
1472,356180.40543746576
1473,129487.53497020509
1474,222604.83253126184
1475,139120.9182139167
1476,115395.30364921474
1477,139460.4267729459
1478,93494.25213574128
1479,157211.34687002847
1480,125782.7462334423
1481,322620.1619999874
1482,115784.32912601801
1483,230773.87200711644
1484,138248.11837437947
1485,136054.5264328231
1486,245654.1243486432
1487,123005.34420262593
1488,273903.16611773404
1489,210120.6478929937
1490,83276.5288066466
1491,86775.61916959131
1492,136188.79860727373
1493,175662.5562606867
1494,147562.56704058667
1495,266243.3616086374
1496,303356.782851087
1497,151584.13307860243
1498,153338.10585041734
1499,123361.46539841671
1500,65032.483765949546
1501,145581.9490151153
1502,153865.60560906696
1503,131892.13239069493
1504,125936.7617552094
1505,128364.24628816449
1506,285320.1920590832
1507,233309.5539562166
1508,243052.7299206298
1509,93792.36166828926
1510,127041.01901948261
1511,160775.9291600011
1512,108753.04535983659
1513,117474.17345933925
1514,366514.8918569206
1515,124820.38437156237
1516,157382.47330762018
1517,179263.659144579
1518,190158.7411476295
1519,400959.4014660102
1520,115987.5165330934
1521,161880.84953842591
1522,100695.70116399291
1523,195395.68984411572
1524,139763.27398551573
1525,218030.22704990592
1526,297422.9459030482
1527,175345.93021507608
1528,206060.94855874527
1529,83759.88489006665
1530,196531.79961710033
1531,230072.8094056127
1532,122084.93982727522
1533,172281.88815740353
1534,133702.56933715974
1535,97602.81102949502
1536,86425.5477222802
1537,108400.67227773719
1538,108407.88230426979
1539,129453.08121447609
1540,104354.75833303886
1541,171489.974773264
1542,171106.619612223
1543,242433.8680169847
1544,122698.7903036867
1545,152530.69002291557
1546,248997.72309062336
1547,172059.1817435229
1548,151705.4036784799
1549,73878.74280417482
1550,107796.80468067485
